word,phonetic,translation,level,example,partOfSpeech,definition,synonyms,antonyms
cure,/kjʊər/,治愈 ,B1,At one time doctors couldn't cure people of TB.,"verb, noun",to make someone with an illness healthy again:,,
curly,/ˈkɜː.li/,卷曲 ,B1,"He has blond, curly hair.",adjective,having curls or a curved shape:,,
currency,/ˈkʌr.ən.si/,货币,B1,foreign currency,noun,the money that is used in a particular country at a particular time:,,
current,/ˈkʌr.ənt/,当前的 ,B1,Have you seen the current issue of (= the most recently published) Vogue magazine?,adjective,of the present time:,,
curtain,/ˈkɜː.tən/,窗帘,B1,Heavy curtains blocked out the sunlight.,noun,"a piece of material, especially cloth, that hangs across a window or opening to make a room or part of a room dark or private:",,
currently,/ˈkʌr.ənt.li/,现在 ,B1,The Director is currently having talks in the US,adverb,at the present time:,,
curved,/kɜːvd/,弯曲 ,B1,a curved surface,adjective,having a rounded or smoothly bending shape:,,
curve,/kɜːv/,曲线 ,B1,a curve in the road,"noun, verb",a line that bends continuously and has no straight parts:,curveball,
customer,/ˈkʌs.tə.mər/,顾客 ,B1,There goes another satisfied customer!,noun,a person who buys goods or a service:,,
custom,/ˈkʌs.təm/,风俗,B1,a local/ancient custom,noun,a way of behaving or a belief that has been established for a long time:,,
dad,/dæd/,爸爸 ,B1,"Can you pick me up from the party tonight, Dad?",noun,a father:,,
damage,/ˈdæm.ɪdʒ/,损害,B1,Many buildings were badly damaged during the war.,"noun, verb",to harm or spoil something:,,
cycle,/ˈsaɪ.kəl/,循环,B1,Cycles cannot be taken on this train.,"noun, verb",a bicycle:,,
cut,/kʌt/,切 ,B1,to cut a slice of bread,verb,"to break the surface of something, or to divide or make something smaller, using a sharp tool, especially a knife:",,
daily,/ˈdeɪ.li/,日常的 ,B1,Take the tablets twice daily.,adjective,happening on or relating to every day:,daily paper,
dance,/dɑːns/,舞蹈 ,B1,We danced all night.,"noun, verb",to move the body and feet to music:,,
dancing,/ˈdɑːn.sɪŋ/,跳舞,B1,"The country has a strong tradition of arts and crafts, dancing, and music.",noun,the activity of moving the body and feet to music:,,
dancer,/ˈdɑːn.sər/,舞蹈家 ,B1,He's a dancer in the Royal Ballet.,noun,someone who dances either as a job or for pleasure:,,
danger,/ˈdeɪn.dʒər/,危险 ,B1,Danger! Keep out!,noun,the possibility of harm or death to someone:,,
dangerous,/ˈdeɪn.dʒər.əs/,危险的 ,B1,dangerous chemicals,adjective,"A dangerous person, animal, thing, or activity could harm you:",,
data,/ˈdeɪ.tə/,数据 ,B1,The data was/were collected by various researchers.,noun,"information, especially facts or numbers, collected to be examined and considered and used to help decision-making, or information in an electronic form that can be stored and used by a computer:",,
dark,/dɑːk/,黑暗的,B1,It was too dark to see much.,adjective,with little or no light:,,
daughter,/ˈdɔː.tər/,女儿,B1,Liz and Phil have a daughter and three sons.,noun,your female child:,girl,
date,/deɪt/,日期 ,B1,What's the date (today)?/What date is it?/What's today's date?,noun,"a numbered day in a month, often given with a combination of the name of the day, the month, and the year:",,
day,/deɪ/,天 ,B1,January has 31 days.,noun,"a period of 24 hours, especially from twelve o'clock one night to twelve o'clock the next night:",,
dead,/ded/,死的 ,B1,She's been dead for 20 years now.,adjective,not now living:,,
deeply,/ˈdiːp.li/,深 ,B1,I'm deeply grateful to you.,adverb,extremely or strongly:,profoundly,
deal,/diːl/,交易,B1,a business deal,verb,"an agreement or an arrangement, especially in business:",,
defeat,/dɪˈfiːt/,击败 ,B1,Napoleon was defeated by the Duke of Wellington at the battle of Waterloo.,"verb, noun","to win against someone in a fight, war, or competition:",,
defence,/dɪˈfens/,防御,B1,He published an essay in defence of the freedom of the press.,noun,the act of protecting someone or something against attack or criticism :,,
define,/dɪˈfaɪn/,定义 ,B1,"In the dictionary, ""reality"" is defined as ""the state of things as they are, rather than as they are imagined to be"".",verb,"to say what the meaning of something, especially a word, is:",,
defend,/dɪˈfend/,保卫 ,B1,How can we defend our homeland if we don't have an army?,verb,to protect someone or something against attack or criticism:,,
definite,/ˈdef.ɪ.nət/,定,B1,The date for the meeting is now definite: 5 March .,adjective,"fixed, certain, or clear:",,
definitely,/ˈdef.ɪ.nət.li/,确实 ,B1,Have you definitely decided to go to Costa Rica?,adverb,without any doubt:,,
definition,/ˌdef.ɪˈnɪʃ.ən/,定义 ,B1,a dictionary definition,noun,a statement that explains the meaning of a word or phrase:,,
delay,/dɪˈleɪ/,延迟 ,B1,My plane was delayed by an hour.,"verb, noun",to make something happen at a later time than originally planned or expected:,time lag,
deliberately,/dɪˈlɪb.ər.ət.li/,故意地,B1,I'm sure he says these things deliberately to annoy me.,adverb,intentionally:,,
degree,/dɪˈɡriː/,程度,B1,This job demands a high degree of skill.,noun,(an) amount or level of something:,,
deliberate,/dɪˈlɪb.ər.ət/,商榷 ,B1,a deliberate attack/insult/lie,adjective,(often of something bad) intentional or planned:,,
delicious,/dɪˈlɪʃ.əs/,可口的 ,B1,a delicious cake,adjective,having a very pleasant taste or smell:,,
delighted,/dɪˈlaɪ.tɪd/,高兴极了,B1,a delighted audience,adjective,very pleased:,,
delight,/dɪˈlaɪt/,喜 ,B1,Her face had a look of pure delight.,"verb, noun","a feeling of great pleasure, satisfaction, or happiness:",,
dear,/dɪər/,亲爱的 ,B1,She was a very dear friend.,adjective,loved or liked very much:,expensive,
death,/deθ/,死亡 ,B1,The disease causes thousands of deaths a year.,noun,the end of life:,,
decade,/ˈdek.eɪd/,十年 ,B1,The economy is growing at its fastest rate this decade.,noun,"a period of ten years, especially a period such as 2010 to 2019",,
debate,/dɪˈbeɪt/,辩论,B1,Education is the current focus of public debate.,"noun, verb",(a) serious discussion of a subject in which many people take part:,,
debt,/det/,债务 ,B1,He managed to pay off his debts in two years.,noun,"something, especially money, that is owed to someone else, or the state of owing something:",,
decent,/ˈdiː.sənt/,体面的 ,B1,Everyone should be entitled to a decent wage/standard of living.,adjective,socially acceptable or good:,,
decide,/dɪˈsaɪd/,决定 ,B1,They have to decide by next Friday.,verb,"to choose something, especially after thinking carefully about several possibilities:",,
December,/dɪˈsem.bər/,十二月,B1,My parents got married in December.,noun,"the twelfth and last month of the year, after November and before January:",,
decision,/dɪˈsɪʒ.ən/,决定,B1,She has had to make some very difficult decisions.,noun,a choice that you make about something after thinking about several possibilities:,decisiveness,
declare,/dɪˈkleər/,宣布 ,B1,They declared their support for the proposal,verb,"to announce something clearly, firmly, publicly, or officially:",,
decorate,/ˈdek.ə.reɪt/,装饰,B1,They decorated the wedding car with ribbons and flowers.,verb,"to add something to an object or place, especially in order to make it more attractive:",,
decline,/dɪˈklaɪn/,衰退 ,B1,His interest in the project declined after his wife died.,"verb, noun","to gradually become less, worse, or lower:",,
decoration,/ˌdek.əˈreɪ.ʃən/,装饰 ,B1,He's good at cake decoration.,noun,"the activity of making something look more attractive by putting things on it or around it, or something that you use to do this:",,
decrease,/dɪˈkriːs/,减少 ,B1,Our share of the market has decreased sharply this year.,"verb, noun","to become less, or to make something become less:",,
deliver,/dɪˈlɪv.ər/,递送 ,B1,Mail is delivered to our office twice a day.,verb,"to take goods, letters, parcels, etc. to people's houses or places of work:",,
delivery,/dɪˈlɪv.ər.i/,送货 ,B1,We get two deliveries of mail (= it is delivered twice) a day.,noun,"the act of taking goods, letters, parcels, etc. to people's houses or places of work:",,
deep,/diːp/,深的,B1,a deep well/mine,adjective,"going or being a long way down from the top or surface, or being of a particular distance from the top to the bottom:",,
demonstrate,/ˈdem.ən.streɪt/,证明 ,B1,These numbers clearly demonstrate the size of the economic problem facing the country.,verb,to show or make something clear:,,
dentist,/ˈden.tɪst/,牙医 ,B1,You should have your teeth checked by a dentist at least twice a year.,noun,a person whose job is treating people's teeth:,,
deny,/dɪˈnaɪ/,否定,B1,He will not confirm or deny the allegations.,verb,to say that something is not true:,,
demand,/dɪˈmɑːnd/,要求,B1,I demanded an explanation.,"noun, verb","to ask for something forcefully, in a way that shows that you do not expect to be refused:",,
departure,/dɪˈpɑː.tʃər/,离开 ,B1,Our departure was delayed because of bad weather.,noun,"the fact of a person or vehicle, etc. leaving somewhere:",,
depend,/dɪˈpend/,依赖,B1,Whether or not we go to Mexico for our holiday depends on the cost.,verb,to be decided by or to change according to the stated thing:,,
depressing,/dɪˈpres.ɪŋ/,沉闷 ,B1,This weather is so depressing.,adjective,making you feel unhappy and without hope for the future:,cheerless,
depressed,/dɪˈprest/,郁闷 ,B1,He seemed a bit depressed about his work situation.,adjective,unhappy and without hope:,,
description,/dɪˈskrɪp.ʃən/,描述 ,B1,Write a description of your favourite beach.,noun,something that tells you what something or someone is like:,,
depth,/depθ/,深度,B1,the depth of a lake/pond,noun,"the distance down either from the top of something to the bottom, or to a distance below the top surface of something:",richness,
describe,/dɪˈskraɪb/,描述 ,B1,Could you describe your attacker?,verb,to say or write what someone or something is like:,,
deserve,/dɪˈzɜːv/,应得 ,B1,"After all that hard work, you deserve a holiday.",verb,to have earned or to be given something because of the way you have behaved or the qualities you have:,,
department,/dɪˈpɑːt.mənt/,部门 ,B1,the Department of Health and Social Security,noun,"a part of an organization such as a school, business, or government that deals with a particular area of study or work:",,
desert,/ˈdez.ət/,沙漠,B1,They were lost in the desert for nine days.,noun,"an area, often covered with sand or rocks, where there is very little rain and not many plants:",,
